trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1651,False,"{'a': 0.3, 'e': 0.19189142716562418}",25,14,21.73360291667759,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1652,False,"{'a': 0.3, 'e': 0.19169953573845855}",25,6,29.210764863698373,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1653,False,"{'a': 0.3, 'e': 0.1915078362027201}",20,10,14.41269858447776,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1654,False,"{'a': 0.3, 'e': 0.19131632836651738}",25,9,10.761164927526082,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
1655,False,"{'a': 0.3, 'e': 0.19112501203815085}",25,16,15.266359499005658,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1656,False,"{'a': 0.3, 'e': 0.1909338870261127}",25,7,31.914830369251174,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1657,False,"{'a': 0.3, 'e': 0.1907429531390866}",20,0,-20.253307731514663,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
1658,False,"{'a': 0.3, 'e': 0.1905522101859475}",35,12,26.06471559577815,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
1659,False,"{'a': 0.3, 'e': 0.19036165797576154}",20,11,-6.212038303229134,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
1660,False,"{'a': 0.3, 'e': 0.1901712963177858}",20,7,-43.262950102785624,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 1}",1
1661,False,"{'a': 0.3, 'e': 0.189981125021468}",25,8,15.863132084503341,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
1662,False,"{'a': 0.3, 'e': 0.18979114389644655}",20,8,-68.66106106742276,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 2}",1
1663,False,"{'a': 0.3, 'e': 0.1896013527525501}",20,3,10.45040383497314,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
1664,False,"{'a': 0.3, 'e': 0.18941175139979755}",25,17,11.953269377882675,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1665,False,"{'a': 0.3, 'e': 0.18922233964839774}",25,11,30.873363345053733,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1666,False,"{'a': 0.3, 'e': 0.18903311730874936}",20,11,16.334750838378742,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
